"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"1151","SN 1996P","13:52:52.610","+02:48:30.20","SN Ia","","NGC 5335        ","","","","","","","","","0","1","","17","","1996-03-25 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6357; PositionRef=IAUC 6377; Orig Type=Ia   ]","","",""
"1150","SN 1996O","16:06:00.000","+18:12:00.00","SN Ia","","MCG +03-41-115  ","","","","","","","","","0","1","","18","","1996-03-21 00:00:00.000","","[Discoverer=Evans; DiscoveryRef=IAUC 6352; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org","","",""
"1146","SN 1996K","08:24:43.490","-00:21:06.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","23","","1996-02-20 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6332; PositionRef=IAUC 6332; Orig Type=Ia   ]","","",""
"1145","SN 1996J","10:10:33.209","-12:37:05.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1996-02-20 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6332; PositionRef=IAUC 6332; Orig Type=Ia   ]","","",""
"1144","SN 1996I","12:00:39.430","-00:16:02.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","23","","1996-02-14 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6332; PositionRef=IAUC 6332; Orig Type=Ia   ]","","",""
"1143","SN 1996H","12:28:52.781","-00:05:40.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.8","","1996-02-14 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6332; PositionRef=IAUC 6332; Orig Type=Ia   ]","","",""
"1140","SN 1996E","10:10:20.280","-12:33:09.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","1996-02-14 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6332; PositionRef=IAUC 6332; Orig Type=Ia   ]","","",""
"1120","SN 1996C","13:50:48.600","+49:19:07.10","SN Ia","","MCG +08-25-47   ","","","","","","","","","0","1","","18","","1996-02-15 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6317; PositionRef=IAUC 6325; Orig Type=Ia   ]","","",""
"1039","SN 1995bd","04:45:21.240","+11:04:02.50","SN Ia","","UGC 3151        ","","","","","","","","","0","1","","18.8","","1995-12-19 00:00:00.000","","[Discoverer=Pollas; DiscoveryRef=IAUC 6278; PositionRef=IAUC 6278; Orig Type=Ia   ]","","",""
"1024","SN 1995ap","03:12:28.130","+00:41:43.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","1995-11-18 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6267; PositionRef=IAUC 6267; Orig Type=Ia   ]","","",""
